OBJECTID,PG_ID,BARRAMENTO,LATITUDE,LONGITUDE,MUNICIPIO
306244,880891,DC51703,-6.10568056,-37.75774042,Almino Afonso
306245,880892,CEA5801,-6.10457735,-37.75499066,Almino Afonso
306247,880894,DA5799X,-6.10365096,-37.75347002,Almino Afonso
306248,880895,CA57984,-6.10351639,-37.75314438,Almino Afonso
306249,880896,DA57979,-6.10333717,-37.75264696,Almino Afonso
306250,880897,CD70088,-6.10300423,-37.75214904,Almino Afonso
306251,880898,CD70072,-6.10271667,-37.75159707,Almino Afonso
306252,880899,CD70051,-6.10240199,-37.75104501,Almino Afonso
306263,880910,CD68519,-6.13075639,-37.74052242,Almino Afonso
306264,880911,CE6853X,-6.12857753,-37.74042502,Almino Afonso
306265,880912,CD68131,-6.12573714,-37.7379857,Almino Afonso
306266,880913,CD68110,-6.12548864,-37.73933094,Almino Afonso
306267,880914,CD68126,-6.12653644,-37.73966859,Almino Afonso
306268,880915,CD68105,-6.12541454,-37.73987274,Almino Afonso
306269,880916,CD6809X,-6.12502092,-37.74135301,Almino Afonso
306270,880917,CD68084,-6.12517355,-37.74168776,Almino Afonso
306271,880918,CD68079,-6.12506326,-37.74223847,Almino Afonso
306272,880922,CD68435,-6.13239886,-37.73593848,Almino Afonso
306273,880923,CD68409,-6.13325655,-37.73634778,Almino Afonso
306287,880938,CD68456,-6.1305897,-37.73615847,Almino Afonso
306288,880939,DC51640,-6.12970527,-37.73563165,Almino Afonso
306289,880940,CD68440,-6.1311236,-37.73603373,Almino Afonso
306290,880941,CD68220,-6.1271152,-37.7284684,Almino Afonso
306291,880942,CD68215,-6.12695126,-37.72940893,Almino Afonso
